id,text,expected_label,expected_language,predicted_raw_label,predicted_label,predicted_language,score,is_correct
1,Сегодня студенты выполняют лабораторную работу по искусственному интеллекту.,ru,Русский,rus_Cyrl,ru,Русский,0.998526,True
2,Модель должна определить язык короткого предложения без подсказок.,ru,Русский,rus_Cyrl,ru,Русский,0.99682,True
3,The neural network analyzes the sentence and predicts its language.,en,Английский,eng_Latn,en,Английский,0.987658,True
4,This example checks whether the model works correctly on English text.,en,Английский,eng_Latn,en,Английский,0.954995,True
5,Die Studierenden testen ein Modell zur automatischen Spracherkennung.,de,Немецкий,deu_Latn,de,Немецкий,0.997903,True
6,Dieses Beispiel enthält einen deutschen Satz mit typischer Wortstellung.,de,Немецкий,deu_Latn,de,Немецкий,0.999875,True
7,Le modèle doit reconnaître correctement la langue française.,fr,Французский,fra_Latn,fr,Французский,0.994206,True
8,Cette phrase est utilisée pour vérifier la qualité de la prédiction.,fr,Французский,fra_Latn,fr,Французский,0.997964,True
9,这个句子用于检查模型是否能够识别中文。,zh,Китайский,zho_Hans,zh,Китайский,0.996233,True
10,人工智能模型应该正确地判断这段文字的语言。,zh,Китайский,zho_Hans,zh,Китайский,0.996135,True
